Date,Base Order ID,Order Source,State,Base SKU,Quantity,Value,,
21/02/2026 12:44,14927033,Meesho Ak Kurtis,,TS-03BLACKA-XL,1,0,,
21/02/2026 21:15,14945937,Meesho Ransh,,TR-01-BLK-XXL,1,0,,
21/02/2026 17:05,14937362,Meesho Ransh,,TR-01-BLK-XXL,1,0,,
21/02/2026 14:57,14932501,Meesho Ransh,,TR-01-BLK-XXL,1,0,,
20/02/2026 21:01,14906759,Meesho Ransh,,TR-01-BLK-XXL,1,0,,
21/02/2026 15:41,14934149,Meesho Ransh,,TR-01-BLK-XL,1,0,,
21/02/2026 12:03,14925474,Meesho Ransh,,TR-01-BLK-XL,1,0,,
20/02/2026 21:47,14908126,Meesho Ransh,,TR-01-BLK-XL,1,0,,
21/02/2026 17:16,14937704,Meesho Ransh,,TR-01-BLK-S,1,0,,
21/02/2026 0:28,14912293,Meesho Ransh,,TR-01-BLK-S,1,0,,
21/02/2026 20:28,14944176,Meesho Ransh,,TR-01-BLK-M,1,0,,
20/02/2026 20:34,14905987,Meesho Ransh,,TR-01-BLK-M,1,0,,
21/02/2026 20:35,14944481,Meesho Ransh,,TR-01-BLK-L,1,0,,
21/02/2026 12:34,14926738,Meesho Ransh,,TR-01-BLK-3XL,1,0,,
21/02/2026 11:59,14925394,Meesho Ransh,,TR-01-BLK-3XL,1,0,,
21/02/2026 16:02,14935000,Meesho Ak Kurtis,,ISCA-TUBE-WHITE-M,1,0,,
21/02/2026 17:26,14937989,Meesho Ak Kurtis,,ISCA-TS10-WHITE-XL,1,0,,
21/02/2026 20:33,14944286,Meesho Ak Kurtis,,ISCA-Top-219WHITE-XL,1,0,,
21/02/2026 1:25,14913210,Meesho Ivan,,ISCA-B-298OWL-S,1,0,,
21/02/2026 13:12,14928058,Meesho AGM Fashion,,ISCA-A83c-MAROON-S,1,0,,
20/02/2026 10:02,14886440,Meesho Ransh,,ISCA-A328BLACK-M,1,0,,
20/02/2026 20:01,14904952,Meesho Ransh,,ISCA-A25MAROON-S,1,0,,
20/02/2026 21:22,14907327,Meesho AGM Fashion,,ISCA-70-71-LAVENDER-M,1,0,,
20/02/2026 23:30,14911024,FK Ransh,Uttar Pradesh,ISCA-388b-BLACK-XS,1,300,,
21/02/2026 14:26,14931327,FK AGM old,Assam,ISCA-382rl-ONION-S,1,435,,
20/02/2026 16:04,14897246,Meesho AGM Fashion,,ISCA-382rl-ONION-S,1,0,,
20/02/2026 22:01,14908468,FK Ransh,Delhi,ISCA-382rl-ONION-M,1,419,,
21/02/2026 17:19,14937753,Meesho AGM Fashion,,ISCA-382rk-ONION-S,1,0,,
20/02/2026 17:59,14901354,Meesho Ak Kurtis,,ISCA-382rj-ONION-L,1,0,,
21/02/2026 8:12,14918102,Meesho AGM Fashion,,ISCA-382ri-ONION-XL,1,0,,
20/02/2026 12:43,14890834,Meesho Ivan,,ISCA-382rh-ONION-M,1,0,,
20/02/2026 10:50,14887747,Meesho Ivan,,ISCA-382rh-ONION-M,1,0,,
20/02/2026 10:09,14886652,FK Ransh,Jharkhand,ISCA-382rg-ONION-XL,1,419,,
21/02/2026 22:51,14949342,FK AGM old,Rajasthan,ISCA-382rg-ONION-S,1,419,,
21/02/2026 17:36,14938324,FK Ransh,Chhattisgarh,ISCA-382rg-ONION-S,1,435,,
20/02/2026 21:56,14908407,FK Ransh,Uttar Pradesh,ISCA-382rg-ONION-S,1,419,,
20/02/2026 21:15,14907232,FK Ransh,Assam,ISCA-382rg-ONION-S,1,419,,
20/02/2026 11:13,14888320,Meesho Ak Kurtis,,ISCA-382rg-ONION-S,1,0,,
21/02/2026 19:04,14941060,FK Ransh,Bihar,ISCA-382rg-ONION-M,1,435,,
20/02/2026 14:07,14893477,Meesho Ak Kurtis,,ISCA-382rg-ONION-M,1,0,,
21/02/2026 15:35,14933931,Meesho Ak Kurtis,,ISCA-382rf-ONION-XL,1,0,,
21/02/2026 22:58,14949616,Meesho Ak Kurtis,,ISCA-382rf-ONION-S,1,0,,
21/02/2026 22:06,14977462,Flipkart AGM,Punjab,ISCA-382re-ONION-S,1,426,,
21/02/2026 22:06,14947805,FK AGM old,Punjab,ISCA-382re-ONION-S,1,426,,
21/02/2026 7:17,14917270,Meesho Ak Kurtis,,ISCA-382re-ONION-S,1,0,,
21/02/2026 20:53,14945090,Meesho AGM Fashion,,ISCA-382re-ONION-M,1,0,,
20/02/2026 15:23,14895944,Meesho Ak Kurtis,,ISCA-382rd-ONION-XL,1,0,,
20/02/2026 19:52,14904496,Meesho Ivan,,ISCA-382rd-ONION-S,1,0,,
21/02/2026 11:57,14925352,Meesho Ak Kurtis,,ISCA-382rd-ONION-M,1,0,,
20/02/2026 14:48,14894602,Meesho Ak Kurtis,,ISCA-382rd-ONION-M,1,0,,
20/02/2026 12:04,14889796,Meesho AGM Fashion,,ISCA-382rd-ONION-M,1,0,,
21/02/2026 4:09,14915477,Meesho Ak Kurtis,,ISCA-382rd-ONION-L,1,0,,
21/02/2026 0:08,14911857,Meesho Ak Kurtis,,ISCA-382rd-ONION-L,1,0,,
21/02/2026 18:41,14940331,FK Ransh,Odisha,ISCA-382rc-ONION-S,1,426,,
21/02/2026 17:11,14937483,FK Ransh,Jharkhand,ISCA-382rc-ONION-S,1,435,,
21/02/2026 10:03,14921108,FK Ransh,Odisha,ISCA-382rc-ONION-S,1,435,,
21/02/2026 9:28,14920062,FK Ransh,Tripura,ISCA-382rc-ONION-S,1,435,,
21/02/2026 7:58,14917895,FK Ransh,Uttar Pradesh,ISCA-382rc-ONION-S,1,426,,
20/02/2026 9:31,14885774,FK Ransh,Arunachal Pradesh,ISCA-382rc-ONION-S,1,419,,
21/02/2026 22:05,14947752,FK Ransh,Assam,ISCA-382rc-ONION-M,1,435,,
21/02/2026 21:33,14946581,FK Ransh,Uttarakhand,ISCA-382rc-ONION-L,1,419,,
21/02/2026 19:58,14942998,Meesho AGM Fashion,,ISCA-382rb-ONION-XL,1,0,,
21/02/2026 7:52,14917749,Meesho AGM Fashion,,ISCA-382rb-ONION-XL,1,0,,
20/02/2026 18:19,14901848,Meesho AGM Fashion,,ISCA-382rb-ONION-XL,1,0,,
21/02/2026 21:30,14946438,Meesho AGM Fashion,,ISCA-382rb-ONION-S,1,0,,
21/02/2026 20:57,14945302,Meesho AGM Fashion,,ISCA-382rb-ONION-S,1,0,,
21/02/2026 16:40,14936546,Meesho AGM Fashion,,ISCA-382rb-ONION-S,1,0,,
21/02/2026 14:23,14931064,Meesho AGM Fashion,,ISCA-382rb-ONION-S,1,0,,
20/02/2026 18:07,14901584,Meesho AGM Fashion,,ISCA-382rb-ONION-S,1,0,,
20/02/2026 14:04,14893376,Meesho AGM Fashion,,ISCA-382rb-ONION-S,1,0,,
21/02/2026 19:14,14941370,Meesho AGM Fashion,,ISCA-382rb-ONION-M,1,0,,
21/02/2026 13:13,14928093,Meesho AGM Fashion,,ISCA-382rb-ONION-M,1,0,,
20/02/2026 18:31,14902128,Meesho AGM Fashion,,ISCA-382rb-ONION-M,1,0,,
20/02/2026 15:47,14896684,Meesho AGM Fashion,,ISCA-382rb-ONION-M,1,0,,
20/02/2026 10:13,14886695,Meesho AGM Fashion,,ISCA-382rb-ONION-M,1,0,,
21/02/2026 23:45,14951026,Meesho Ak Kurtis,,ISCA-382ra-ONION-XL,1,0,,
21/02/2026 11:55,14925298,Meesho Ak Kurtis,,ISCA-382ra-ONION-XL,1,0,,
21/02/2026 6:18,14916737,Meesho Ak Kurtis,,ISCA-382ra-ONION-XL,1,0,,
20/02/2026 22:52,14909924,Meesho Ak Kurtis,,ISCA-382ra-ONION-XL,1,0,,
21/02/2026 22:24,14948292,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
21/02/2026 18:28,14939927,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
21/02/2026 18:21,14939616,Meesho Ivan,,ISCA-382ra-ONION-S,1,0,,
21/02/2026 15:18,14933279,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
21/02/2026 15:01,14932588,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
21/02/2026 12:28,14926454,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
21/02/2026 9:00,14919219,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
20/02/2026 23:12,14910470,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
20/02/2026 10:55,14887945,Meesho Ak Kurtis,,ISCA-382ra-ONION-S,1,0,,
21/02/2026 15:03,14932739,Meesho Ak Kurtis,,ISCA-382ra-ONION-M,1,0,,
